ÔÂ·Ý,covid: (È«Çò)
2014/9/1,0
2014/10/1,0
2014/11/1,0
2014/12/1,0
2015/1/1,0
2015/2/1,0
2015/3/1,0
2015/4/1,0
2015/5/1,0
2015/6/1,0
2015/7/1,0
2015/8/1,0
2015/9/1,0
2015/10/1,0
2015/11/1,0
2015/12/1,0
2016/1/1,0
2016/2/1,0
2016/3/1,0
2016/4/1,0
2016/5/1,0
2016/6/1,0
2016/7/1,0
2016/8/1,0
2016/9/1,0
2016/10/1,0
2016/11/1,0
2016/12/1,0
2017/1/1,0
2017/2/1,0
2017/3/1,0
2017/4/1,0
2017/5/1,0
2017/6/1,0
2017/7/1,0
2017/8/1,0
2017/9/1,0
2017/10/1,0
2017/11/1,0
2017/12/1,0
2018/1/1,0
2018/2/1,0
2018/3/1,0
2018/4/1,0
2018/5/1,0
2018/6/1,0
2018/7/1,0
2018/8/1,0
2018/9/1,0
2018/10/1,0
2018/11/1,0
2018/12/1,0
2019/1/1,0
2019/2/1,0
2019/3/1,0
2019/4/1,0
2019/5/1,0
2019/6/1,0
2019/7/1,0
2019/8/1,0
2019/9/1,0
2019/10/1,0
2019/11/1,0
2019/12/1,0
2020/1/1,0
2020/2/1,1
2020/3/1,57
2020/4/1,77
2020/5/1,60
2020/6/1,52
2020/7/1,64
2020/8/1,52
2020/9/1,50
2020/10/1,60
2020/11/1,65
2020/12/1,70
2021/1/1,74
2021/2/1,60
2021/3/1,76
2021/4/1,77
2021/5/1,73
2021/6/1,63
2021/7/1,73
2021/8/1,81
2021/9/1,59
2021/10/1,48
2021/11/1,53
2021/12/1,83
2022/1/1,100
2022/2/1,42
2022/3/1,31
2022/4/1,24
2022/5/1,22
2022/6/1,22
2022/7/1,26
2022/8/1,16
2022/9/1,13
2022/10/1,12
2022/11/1,11
2022/12/1,13
2023/1/1,9
2023/2/1,7
2023/3/1,6
2023/4/1,6
2023/5/1,5
2023/6/1,4
2023/7/1,3
2023/8/1,6
2023/9/1,8
2023/10/1,6
2023/11/1,5
2023/12/1,7
2024/1/1,6
2024/2/1,4
2024/3/1,3
2024/4/1,3
