ÔÂ·Ý,election: (È«Çò)
2014/9/1,1
2014/10/1,1
2014/11/1,3
2014/12/1,1
2015/1/1,1
2015/2/1,2
2015/3/1,2
2015/4/1,2
2015/5/1,3
2015/6/1,1
2015/7/1,0
2015/8/1,1
2015/9/1,1
2015/10/1,2
2015/11/1,2
2015/12/1,1
2016/1/1,1
2016/2/1,2
2016/3/1,3
2016/4/1,2
2016/5/1,4
2016/6/1,1
2016/7/1,2
2016/8/1,1
2016/9/1,1
2016/10/1,3
2016/11/1,25
2016/12/1,1
2017/1/1,1
2017/2/1,2
2017/3/1,2
2017/4/1,3
2017/5/1,2
2017/6/1,3
2017/7/1,1
2017/8/1,1
2017/9/1,1
2017/10/1,1
2017/11/1,2
2017/12/1,3
2018/1/1,1
2018/2/1,1
2018/3/1,2
2018/4/1,1
2018/5/1,4
2018/6/1,1
2018/7/1,1
2018/8/1,1
2018/9/1,1
2018/10/1,2
2018/11/1,7
2018/12/1,3
2019/1/1,1
2019/2/1,2
2019/3/1,2
2019/4/1,3
2019/5/1,10
2019/6/1,1
2019/7/1,1
2019/8/1,1
2019/9/1,1
2019/10/1,4
2019/11/1,3
2019/12/1,4
2020/1/1,1
2020/2/1,3
2020/3/1,2
2020/4/1,1
2020/5/1,1
2020/6/1,2
2020/7/1,1
2020/8/1,1
2020/9/1,2
2020/10/1,3
2020/11/1,100
2020/12/1,3
2021/1/1,3
2021/2/1,1
2021/3/1,1
2021/4/1,1
2021/5/1,3
2021/6/1,1
2021/7/1,1
2021/8/1,1
2021/9/1,2
2021/10/1,1
2021/11/1,2
2021/12/1,1
2022/1/1,1
2022/2/1,2
2022/3/1,3
2022/4/1,2
2022/5/1,3
2022/6/1,2
2022/7/1,1
2022/8/1,1
2022/9/1,1
2022/10/1,2
2022/11/1,10
2022/12/1,2
2023/1/1,1
2023/2/1,1
2023/3/1,2
2023/4/1,1
2023/5/1,3
2023/6/1,1
2023/7/1,1
2023/8/1,1
2023/9/1,1
2023/10/1,1
2023/11/1,2
2023/12/1,3
2024/1/1,1
2024/2/1,2
2024/3/1,2
2024/4/1,2
