ÔÂ·Ý,nuclear weapon: (È«Çò)
2014/9/1,18
2014/10/1,17
2014/11/1,16
2014/12/1,16
2015/1/1,16
2015/2/1,21
2015/3/1,19
2015/4/1,24
2015/5/1,20
2015/6/1,15
2015/7/1,17
2015/8/1,19
2015/9/1,23
2015/10/1,19
2015/11/1,24
2015/12/1,18
2016/1/1,24
2016/2/1,19
2016/3/1,22
2016/4/1,21
2016/5/1,19
2016/6/1,16
2016/7/1,15
2016/8/1,15
2016/9/1,25
2016/10/1,29
2016/11/1,25
2016/12/1,19
2017/1/1,21
2017/2/1,21
2017/3/1,20
2017/4/1,48
2017/5/1,26
2017/6/1,15
2017/7/1,16
2017/8/1,28
2017/9/1,34
2017/10/1,26
2017/11/1,25
2017/12/1,19
2018/1/1,22
2018/2/1,21
2018/3/1,23
2018/4/1,23
2018/5/1,23
2018/6/1,15
2018/7/1,13
2018/8/1,14
2018/9/1,12
2018/10/1,14
2018/11/1,14
2018/12/1,12
2019/1/1,13
2019/2/1,24
2019/3/1,17
2019/4/1,16
2019/5/1,15
2019/6/1,13
2019/7/1,13
2019/8/1,17
2019/9/1,15
2019/10/1,20
2019/11/1,16
2019/12/1,13
2020/1/1,32
2020/2/1,15
2020/3/1,15
2020/4/1,18
2020/5/1,17
2020/6/1,14
2020/7/1,13
2020/8/1,17
2020/9/1,17
2020/10/1,14
2020/11/1,13
2020/12/1,11
2021/1/1,13
2021/2/1,13
2021/3/1,13
2021/4/1,12
2021/5/1,15
2021/6/1,12
2021/7/1,11
2021/8/1,13
2021/9/1,13
2021/10/1,13
2021/11/1,12
2021/12/1,11
2022/1/1,15
2022/2/1,100
2022/3/1,97
2022/4/1,41
2022/5/1,28
2022/6/1,19
2022/7/1,16
2022/8/1,18
2022/9/1,29
2022/10/1,42
2022/11/1,20
2022/12/1,24
2023/1/1,19
2023/2/1,23
2023/3/1,24
2023/4/1,22
2023/5/1,21
2023/6/1,19
2023/7/1,24
2023/8/1,19
2023/9/1,16
2023/10/1,27
2023/11/1,20
2023/12/1,17
2024/1/1,19
2024/2/1,28
2024/3/1,23
2024/4/1,22
